iso_code,title,description,pubDate
us,"Shelley Morrison, Will & Grace Actress, Dies at 83","Shelley Morrison, whose 64-year acting career included playing the memorable maid Rosario on the NBC series Will & Grace from 1999 to 2006, died on Sunday in Los Angeles. She was 83.",2019-12-02T07:34:07+0000
us,"NATO Readies a 70th Birthday Party, With Low-Key Celebrations","BRUSSELS  For an anniversary bash, the guests are unusually anxious.",2019-12-02T07:55:07+0000
us,"Life Inside the DMZ? Scary, but Theres 5G and a Great School","TAESUNG FREEDOM VILLAGE, South Korea  For decades, a village of 188 people has enjoyed perks that few others in South Korea have, with its men exempted from mandatory military service and its 46 households getting special tax cuts.",2019-12-02T07:55:08+0000
us,Forbidden Broadway to Move to the York Theater Company,"The latest iteration of Forbidden Broadway, Gerard Alessandrinis long-running satirical revue, will move to the York Theater Company at Saint Peters for an extended engagement following the close of its production at the Triad Theater on Sunday, the company has announced. Performances at the new space will begin on Jan. 15, 2020.",2019-12-02T08:00:06+0000
us,"Rain, Then the First Snow of the Season in the New York Area", [Want to get New York Today by email? Heres the sign-up.],2019-12-02T08:00:08+0000
us,Its Going to Hurt: A Football Playoff Without Alabama,"AUBURN, Ala.  As thousands of delirious Auburn fans poured over the hedges, turning a football field into a dance floor on Saturday night, there was a different scene playing out in a far corner of Jordan-Hare Stadium.",2019-12-02T08:00:09+0000
us,He Gave a Cryptocurrency Talk in North Korea. The U.S. Arrested Him.,He was a former hacker from Alabama who styled himself a disruptive technologist and believed that he was using his data-mining expertise as a force for good.,2019-12-02T08:00:09+0000
us,"After Long Gap, Supreme Court Poised to Break Silence on Gun Rights","WASHINGTON  It has been almost 10 years since the Supreme Court last heard a Second Amendment case. On Monday, a transformed court will return to the subject and take stock of what has happened in the meantime. ",2019-12-02T08:00:10+0000
us,Incredible Story of Survival: Woman Rescued After 12 Days in Outback,"SYDNEY, Australia  The three Australians told family and friends they were making a quick trip into the central Australian outback. But when their truck became bogged down in a riverbed, they suddenly found themselves in a battle for survival, stranded in a remote landscape with little food and water.",2019-12-02T08:56:40+0000
us,Ralph Ellisons Letters Offer the Pleasures of Big Ideas and Everyday Life,"You are hereby warned, Ralph Ellison wrote to his friend Albert Murray in 1951, that I have dropped the shuck. After years of struggle and doubt, Ellison had finished Invisible Man, his epic of midcentury African-American life. The novel would win the National Book Award. His life was about to change.",2019-12-02T10:00:01+0000
us,How Black Voters Could Help Biden Win the Democratic Nomination,An overwhelming majority of delegates are at stake in states more racially diverse than Iowa and New Hampshire.,2019-12-02T10:00:01+0000
us,The New York City Subway Map as Youve Never Seen It Before,"The city has changed drastically over the past 40 years, yet the M.T.A. map designed in 1979 has largely endured.",2019-12-02T10:00:03+0000
us,These Cocktails Are Garbage. Yum!,"Iain Griffiths, 32, is constantly running in and out of bars, restaurants and bakeries, collecting food scraps and carrying leaking brown boxes.",2019-12-02T10:00:04+0000
us,Have You Ever Tried to Make Money Online?,The internet seems to offer plenty of opportunities for teenagers to earn money: selling vintage clothes via Instagram; listing unwanted Magic and Pokmon cards on eBay; posting videos on YouTube and hoping they go viral. ,2019-12-02T10:00:04+0000
us,The Class of 2000 Could Have Been Anything. Until Opioids Hit.,"The high school yearbook is a staple of American teenage life. But for some, it also is a reminder of failed dreams, lost opportunities and the sheer toll of the opioid crisis.",2019-12-02T10:00:04+0000
